ID;ALIMENTO;Energia Kcal;Carboidrato total;Prote�na;Lip�dios
C0213B;Aipo (salsão), cozido, drenado, s/ óleo, s/ sal, ;21;4,7;0,83;0,08
C0065B;Aipo (salsão), cru, <i>Apium graveolens</i> L., ;19;4,27;0,76;0,07
C0216B;Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal, ;42;7,05;1,33;1,32
C0215B;Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal, ;43;7,37;1,33;1,32
C0915B;Alcachofra, cozida, drenada, s/ óleo, c/ sal, Cynara scolymus, ;51;11,9;2,88;0,34
C0460B;Alcachofra, cozida, drenada, s/ sal, Cynara scolymus, ;51;11,9;2,89;0,34
C0703B;Alcaparra, conserva, Capparis spinosa, ;37;4,89;2,36;0,86
C0824B;Alecrim, seco, Rosmarinus officinalis, ;328;64,1;4,88;15,2
C0063B;Alface, americana, crua, <i>Lactuca sativa</i> L., ;6;1,5;0,41;0,11
C0060B;Alface, crespa, crua, <i>Lactuca sativa</i> L., ;10;1,7;1,35;0,16
C0009B;Alface, crua, <i>Lactuca sativa</i> L., ;9;1,79;1,08;0,12
C0061B;Alface, lisa, crua, <i>Lactuca sativa</i> L., ;13;2,43;1,69;0,12
C0062B;Alface, roxa, crua, <i>Lactuca sativa</i> L., ;11;2,49;0,91;0,19
C0067B;Alfavaca, crua, <i>Ocimum basilicum</i> L., ;28;5,24;2,66;0,48
C1061B;Alga, ágar ágar, em pó, ;336;80,9;6,21;0,3
C0115B;Alho, cozido, s/ óleo, s/ sal, ;121;25,8;5,7;0,2
C0010B;Alho, cru, <i>Allium sativum</i> L., ;121;25,8;5,7;0,2
C1074B;Alho, em pó, <i>Allium sativum</i> L., ;346;72,7;16,6;0,73
C0113B;Alho, refogado (c/ óleo de soja), s/ sal, ;433;36,6;8,09;29,3
C0714B;Alho-poró, cozido, drenado, s/ óleo, s/ sal, <i>Allium ampeloprasum</i> L. var. porrum, ;34;7,62;0,81;0,2
C0068B;Alho-poró, cru, <i>Allium ampeloprasum</i> L. var. porrum, ;29;6,88;1,41;0,14
C0206T;Almôndega de soja, assada, c/ molho de tomate, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, salsinha e cebolinha, pimenta-do-reino, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal), ;155;19,5;16,5;2,11
C0205T;Almôndega de soja, assada, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, c/ sal), ;189;25;22,8;0,77
C0204T;Almôndega de soja, assada, s/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, s/ sal), ;189;25;22,8;0,77
C0887F;Almôndega, ao sugo (molho de tomate), (carne, boi, frita, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal), ;194;11,3;11,6;11,6
C0002F;Almôndega, carne, ave, industrializada, crua, c/ sal, ;202;7,09;12,8;13,6
C0003F;Almôndega, carne, boi, crua, c/ sal, Sadia, ;168;11,7;13,5;7,43
C0001F;Almôndega, carne, boi, industrializada, crua, c/ sal, ;178;10,7;12,9;9,32
C0004F;Almôndega, carne, boi, industrializada, frita, c/ sal, ;272;14,3;18,2;15,8
C0005F;Almôndega, carne, frango, crua, c/ sal, Sadia, ;202;7,09;12,8;13,6
C0210B;Almeirão, cozido, drenado, s/ óleo, c/ sal, ;19;3,92;1,84;0,3
C0209B;Almeirão, cozido, drenado, s/ óleo, s/ sal, ;21;4,24;1,84;0,3
C0011B;Almeirão, cru, Cichorium intybus, ;20;4,12;1,78;0,29
C0149B;Almeirão, refogado (c/ óleo, cebola e alho), c/ sal, ;86;6,15;1,68;7,2
C0105B;Almeirão, refogado (c/ óleo, cebola e alho), s/ sal, Cichorium intybus, ;86;6,15;1,68;7,2
C0011U;Amêndoa, crua, s/ sal, <i>Prunua amygdalus</i> L., ;632;21,5;21,1;49,9
C0001U;Amêndoa, torrada, c/ sal, <i>Arábic amygdalu</i> var. Dulcis, ;616;21,8;20,6;52
C0018U;Amêndoa, torrada, caramelizada, ;560;40,9;15,5;39
C0401A;Amaranto, grão, cozido, s/ óleo, s/ sal, <i>Amaranthus cruentus</i> L., ;100;18,7;3,8;1,59
C0400A;Amaranto, grão, cru, <i>Amaranthus cruentus</i> L., ;365;65,3;13,6;7,02
C0005C;Ameixa, c/ casca, <i>in natura</i>, Prunus domestica, ;54;13,8;0,77;tr
C0186C;Ameixa, em calda, enlatada, drenada, ;188;46,9;0,41;tr
C0181C;Ameixa, seca, ;253;63,9;2,18;0,38
C0192T;Amendoim, caramelizado, ;568;37,2;20,7;38,9
C0020T;Amendoim, grão, cru, <i>Arachis hypogaea</i> L., ;589;20,7;25,4;46,3
C0021T;Amendoim, torrado, c/ sal, <i>Arachis hypogaea</i> L., ;626;16,9;27,5;51,8
C0170C;Amora preta, <i>in natura</i>, Rubus ssp., ;36;6,74;1,39;0,49
C0816B;Angu a baiana, polenta, c/ molho de carne bovina, c/ sal, polenta, c/ molho de carne bovina (acém, coração, língua, rabada, bucho), c/ molho de tomate (tomate, c/ óleo, cebola e alho), pimentão, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal, ;146;13,7;8,11;6,9
C0669A;Angu à baiana, polenta, c/ molho bolonhesa, c/ sal, (polenta, c/ molho bolonhesa (carne bovina - patinho moído, tomate, cebola, alho, c/ óleo de soja), c/ sal), ;99;19,8;3,36;1,27
C0006F;Apresuntado, cozido (média de diferentes marcas), ;126;4,05;14,5;5,71
C0007F;Apresuntado, fatiado, cozido, Sadia, ;108;3,32;13,5;4,53
C0008F;Apresuntado, metro, cozido, Seara, ;129;5;16;5
C0009F;Apresuntado, retangular, cozido, Seara, ;139;5;15;6,6
C0228C;Araça, polpa, com casca, sem semente, <i>in natura</i>, Psidium cattleianum, ;47;12,5;1;0,2
C0506A;Arroz à grega, c/ arroz integral, c/ sal, (arroz integral, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, c/ sal), ;118;22,6;2,2;2,63
C0858A;Arroz à grega, c/ arroz integral, s/ sal, (arroz integral, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, s/ sal), ;119;22,7;2,21;2,64
C0503A;Arroz à grega, c/ arroz polido, c/ sal, (arroz polido, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, c/ sal), ;135;26,8;2,23;2,47
C0504A;Arroz à grega, c/ arroz polido, s/ sal, (arroz polido, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, s/ sal), ;135;27;2,24;2,48
C0716A;Arroz ao molho pardo (arroz de cabidela), c/ arroz polido, c/ sal, (arroz polido, frango, sangue de frango, cheiro verde, c/ vinagre de maçã, c/ óleo, cebola e alho, c/ sal), ;155;14;13,1;5,35
C0511A;Arroz caipira, c/ arroz integral, c/ sal, (arroz integral, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal), ;172;13,9;11,1;8,35
C0512A;Arroz caipira, c/ arroz integral, s/ sal, (arroz integral, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, s/ sal), ;173;13,9;11,1;8,39
C0509A;Arroz caipira, c/ arroz polido, c/ sal, (arroz polido, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal), ;184;17,2;11;8,11
C0510A;Arroz caipira, c/ arroz polido, s/ sal, (arroz polido, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, s/ sal), ;185;17,3;11,1;8,15
C0887A;Arroz carreteiro, c/ sal, (arroz branco polido, charque dessalgado, cebola, tomate, salsinha, c/ óleo de soja, c/ sal), ;150;11,5;10,8;7,09
C0187A;Arroz carreteiro, s/ sal, (arroz branco polido, charque (carne seca, carne de sol, jaba) dessalgado, cebola, tomate, salsinha, c/ óleo de soja, s/ sal), ;151;11,6;10,8;7,12
C0514A;Arroz chop suey, c/ arroz integral, c/ molho shoyu, (arroz integral, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, c/ molho shoyu), ;124;16,8;4,55;4,67
C0515A;Arroz chop suey, c/ arroz integral, s/ sal, (arroz integral, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, s/ sal), ;123;16,7;4,46;4,63
C0717A;Arroz chop suey, c/ arroz polido, c/ molho shoyu, (arroz polido, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, c/ molho shoyu), ;231;11,5;4,89;18,9
C0513A;Arroz chop suey, c/ arroz polido, s/ sal, (arroz polido, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, s/ sal), ;141;21,3;4,52;4,47
C1025A;Arroz com abobrinha, c/ óleo, cebola e alho, c/ sal, ;108;22,4;2,05;1,44
C1026A;Arroz com abobrinha, c/ óleo, cebola e alho, s/ sal, ;109;22,5;2,06;1,55
C0931A;Arroz com alho poró, c/ arroz integral, s/ sal, (arroz , alho integral, poró, c/ óleo de soja, s/ sal), ;106;19,4;2,02;2,7
C0929A;Arroz com alho poró, c/ arroz polido, c/ sal, (arroz polido, alho poró, c/ óleo de soja, c/ sal), ;124;24,2;1,97;2,35
C0930A;Arroz com alho poró, c/ arroz polido, s/ sal, (arroz polido, alho poró, c/ óleo de soja, s/ sal), ;124;24,3;1,97;2,35
C0547A;Arroz com brócolis, c/ arroz integral, c/ sal, (arroz integral, c/ brócolis, c/ óleo, cebola e alho, c/ sal), ;102;18;2,55;2,77
C0548A;Arroz com brócolis, c/ arroz integral, s/ sal, (arroz integral, c/ brócolis, c/ óleo, cebola e alho, s/ sal), ;102;18;2,56;2,77
C0545A;Arroz com brócolis, c/ arroz polido, c/ sal, (arroz polido, c/ brócolis, c/ óleo, cebola e alho, c/ sal), ;118;22,3;2,5;2,46
C0546A;Arroz com brócolis, c/ arroz polido, s/ sal, (arroz polido, c/ brócolis, c/ óleo, cebola e alho, s/ sal), ;118;22,3;2,52;2,46
C1029A;Arroz com carne bovina, c/ arroz polido, c/ sal, (arroz polido, carne bovina músculo, tomate, salsinha, cebolinha, c/ óleo, cebola e alho, c/ sal), ;144;20,3;9,45;3,02
C1030A;Arroz com carne bovina, c/ arroz polido, s/ sal, (arroz polido, carne bovina músculo, tomate, salsinha, cebolinha, c/ óleo, cebola e alho, s/ sal), ;145;20,3;9,46;3,13
C1027A;Arroz com cenoura, c/ óleo, cebola e alho, c/ sal, ;118;24,2;2,19;1,75
C1028A;Arroz com cenoura, c/ óleo, cebola e alho, s/ sal, ;119;24,3;2,21;1,86
C0539A;Arroz com coco, c/ arroz polido, c/ sal, (arroz polido, c/ coco e leite de coco, c/ óleo, cebola e alho, c/ sal), ;180;22,5;2,35;9,27
C0540A;Arroz com coco, c/ arroz polido, s/ sal, (arroz polido, c/ coco e leite de coco, c/ óleo, cebola e alho, s/ sal), ;180;22,6;2,36;9,28
C0551A;Arroz com couve, c/ arroz integral, c/ sal, (arroz integral, c/ couve, c/ óleo, cebola e alho, c/ sal), ;102;17,9;2,54;2,76
C0552A;Arroz com couve, c/ arroz integral, s/ sal, (arroz integral, c/ couve, c/ óleo, cebola e alho, s/ sal), ;102;17,9;2,55;2,76
C0549A;Arroz com couve, c/ arroz polido, c/ sal, (arroz polido, c/ couve, c/ óleo, cebola e alho, c/ sal), ;117;22,2;2,49;2,45
C0550A;Arroz com couve, c/ arroz polido, s/ sal, (arroz polido, c/ couve, c/ óleo, cebola e alho, s/ sal), ;118;22,2;2,51;2,45
C0934A;Arroz com espinafre, c/ arroz integral, c/ sal (arroz integral, espinafre, c/ óleo de soja, c/ sal), ;103;18,4;2,25;2,71
C0935A;Arroz com espinafre, c/ arroz integral, s/ sal (arroz , alho espinafre, c/ óleo de soja, s/ sal), ;103;18,5;2,26;2,71
C0932A;Arroz com espinafre, c/ arroz polido, c/ sal (arroz polido, espinafre, c/ óleo de soja, c/ sal), ;121;23,3;2,2;2,36
C0933A;Arroz com espinafre, c/ arroz polido, s/ sal (arroz polido, espinafre, c/ óleo de soja, s/ sal), ;121;23,3;2,21;2,36
C0724A;Arroz com frango e pequi, c/ arroz integral, c/ sal, (arroz integral, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal), ;181;11,9;11,9;10,2
C0725A;Arroz com frango e pequi, c/ arroz integral, s/ sal, (arroz integral, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal), ;182;11,9;11,9;10,2
C0722A;Arroz com frango e pequi, c/ arroz polido, c/ sal, (arroz polido, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal), ;190;14,4;11,8;9,99
C0723A;Arroz com frango e pequi, c/ arroz polido, s/ sal, (arroz polido, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal), ;190;14,4;11,8;9,99
C0543A;Arroz com frango, c/ arroz integral, c/ sal, (arroz integral, c/ frango, tomate, cenoura, c/ óleo, cebola e alho, c/ sal), ;122;15,4;7,13;3,99
C0544A;Arroz com frango, c/ arroz integral, s/ sal, (arroz integral, c/ frango, tomate, cenoura, c/ óleo, cebola e alho, s/ sal), ;123;15,4;7,16;4,01
C0541A;Arroz com frango, c/ arroz polido, c/ sal, (arroz polido, c/ frango, tomate, cenoura, c/ óleo, cebola e alho, c/ sal), ;138;19,5;7,17;3,82
C0542A;Arroz com frango, c/ arroz polido, s/ sal, (arroz polido, c/ frango, tomate, cenoura, c/ óleo, cebola e alho, s/ sal), ;139;19,6;7,2;3,84
C0522A;Arroz com frutos do mar, c/ arroz integral, c/ sal, (arroz integral, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, c/ sal), ;107;12,2;9,27;2,68
C0523A;Arroz com frutos do mar, c/ arroz integral, s/ sal, (arroz integral, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, s/ sal), ;108;13;8,72;2,65
C0520A;Arroz com frutos do mar, c/ arroz polido, c/ sal, (arroz polido, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, c/ sal), ;116;13,8;9,81;2,56
C0521A;Arroz com frutos do mar, c/ arroz polido, s/ sal, (arroz polido, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, s/ sal), ;118;15,8;8,7;2,45
C0720A;Arroz com jambu, c/ arroz integral, c/ sal, (arroz integral, jambu, c/ óleo, cebola e alho, c/ sal), ;108;19,4;2,61;2,78
C0721A;Arroz com jambu, c/ arroz integral, s/ sal, (arroz integral, jambu, c/ óleo, cebola e alho, s/ sal), ;108;19,4;2,62;2,79
C0718A;Arroz com jambu, c/ arroz polido, c/ sal, (arroz polido, jambu, c/ óleo, cebola e alho, c/ sal), ;125;24;2,56;2,45
C0719A;Arroz com jambu, c/ arroz polido, s/ sal, (arroz polido, jambu, c/ óleo, cebola e alho, s/ sal), ;125;24;2,58;2,45
C0526A;Arroz com legumes, c/ arroz integral, c/ sal, (arroz integral, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, c/ sal), ;104;18,7;2,51;2,77
C0527A;Arroz com legumes, c/ arroz integral, s/ sal, (arroz integral, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, s/ sal), ;109;19,6;2,75;2,79
C0524A;Arroz com legumes, c/ arroz polido, c/ sal, (arroz polido, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, c/ sal), ;118;22,3;2,47;2,5
C0525A;Arroz com legumes, c/ arroz polido, s/ sal, (arroz polido, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, s/ sal), ;122;23,3;2,72;2,52
C0528A;Arroz com lentilha, c/ arroz polido, c/ sal, (arroz polido, c/ lentilha, tomate, linguiça, c/ óleo, cebola e alho, c/ sal), ;144;20,2;5,21;5,23
C0529A;Arroz com lentilha, c/ arroz polido, s/ sal, (arroz polido, c/ lentilha, tomate, linguiça, c/ óleo, cebola e alho, s/ sal), ;145;20,3;5,24;5,26
C0532A;Arroz com linguiça, c/ arroz integral, c/ sal, (arroz integral, c/ linguiça, tomate, c/ óleo, cebola e alho, c/ sal), ;153;15,6;6,5;7,56
C0533A;Arroz com linguiça, c/ arroz integral, s/ sal, (arroz integral, c/ linguiça, tomate, c/ óleo, cebola e alho, s/ sal), ;154;15,7;6,53;7,6
C0530A;Arroz com linguiça, c/ arroz polido, c/ sal, (arroz polido, c/ linguiça, tomate, c/ óleo, cebola e alho, c/ sal), ;166;19,3;6,47;7,3
C0531A;Arroz com linguiça, c/ arroz polido, s/ sal, (arroz polido, c/ linguiça, tomate, c/ óleo, cebola e alho, s/ sal), ;167;19,4;6,5;7,34
C0731A;Arroz com macarrão (aletria, cabelo de anjo), c/ arroz polido, c/ sal, (arroz polido, macarrão, c/ manteiga, c/ óleo, cebola e alho, c/ sal), ;170;26,4;2,68;6,23
