nome,categoria,porcao_g,kcal,prot_g,carb_g,gord_g,contexto_culinario,incompativel_com,velocidade_absorcao,preco
"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal, ",Ovos,100.0,131,3.8,12.4,7.8,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$
"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal, ",Ovos,100.0,131,3.8,12.4,7.8,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$
"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal, ",Outros Carboidratos,100.0,35,1.0,2.8,2.6,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal, ",Outros Carboidratos,100.0,35,1.0,2.8,2.6,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,14,1.0,2.8,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal, <i>Curcubita pepo</i> L., ",Outros Carboidratos,100.0,14,1.0,2.8,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abobrinha, italiana, c/ casca, crua, <i>Cucurbita pepo</i> L., ",Legumes,100.0,17,1.0,3.7,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,27,1.6,5.8,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,27,1.6,5.8,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal, ",Outros Carboidratos,100.0,26,1.1,4.2,0.8,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
